<Trait>	Heritability_0.9_Rep_1
X2868371	-4.58615904462875
X2868372	12.3329891787211
X2868373	15.202798110413
X2868374	17.2490370811032
X2868375	4.81704715252232
X2868376	23.8498072851963
X2868377	4.69496936704093
X2868378	-17.788739304256
X2868379	-4.22176448120622
X2868380	30.3747032536639
X2868381	8.77073491357832
X2868382	0.473516769352533
X2868383	26.235458508128
X2868384	2.60422845683136
X2868385	-15.6805758827399
X2868386	14.7967544837341
X2868387	0.253903702565493
X2868388	-8.45566619081591
X2868389	0.0562372052086217
X2868390	-0.380550296516168
X2868391	-6.86599033366549
X2868392	-5.87832529372992
X2868393	19.1681659595276
X2868394	35.1641880917604
X2868395	39.9918068917429
X2868396	15.8881907696784
X2868397	23.5227951482437
X2868398	11.2219592241897
X2868399	7.58424525852685
X2868400	17.8461936602077
X2868401	-11.6509469285104
X2868402	9.32857965651961
X2868403	10.8317523365335
X2868404	16.472737341483
X2868405	23.0460122895464
X2868406	-28.9164390556919
X2868407	19.6634289621795
X2868408	-17.2012738046744
X2868409	13.8756915000395
X2868410	-42.7115860951726
X2868411	15.9939687246328
X2868412	-12.2987535084673
X2868413	20.74807537809
X2868414	7.42609824558576
X2868415	13.0408446800127
X2868416	8.17210148592688
X2868417	23.3311395738529
X2868418	30.7558056319874
X2868419	-11.2314631511907
X2868420	28.6312634355403
X2868421	-2.8972431478959
X2868422	5.85522051098771
X2868423	4.75822450562948
X2868424	31.3003254393638
X2868425	0.201229476432943
X2868426	24.8924000918283
X2868427	0.929608894485303
X2868428	6.40738119883325
X2868429	16.098503995592
X2868430	-2.65528707542738
X2868431	7.67779123300452
X2868432	28.3138510290131
X2868433	-6.23933466412148
X2868434	8.08827112281907
X2868435	27.5804056835845
X2868436	25.4916253151377
X2868437	-18.6720648493106
X2868438	16.2108961355174
X2868439	5.13995190612547
X2868440	-4.64835091960934
X2868441	1.92511343007054
X2868442	17.1984812033654
X2868443	14.2472979654101
X2868444	31.578985955737
X2868445	-20.1578577858891
X2868446	16.9298431465776
X2868447	-28.935658967567
X2868448	-4.91461734741276
X2868449	18.217593866461
X2868450	31.1491943070065
X2868451	-3.399316368486
X2868452	5.24394078417922
X2868453	-3.78114803224573
X2868454	41.6809680324206
X2868455	-5.38415533375248
X2868456	-12.0931018623069
X2868457	20.4876983999593
X2868458	4.71905573600355
X2868459	-2.35401630607514
X2868460	18.7432607766254
X2868461	0.801406469575746
X2868462	-4.80067351102851
X2868463	1.04730825360008
X2868464	14.2832902732045
X2868465	-3.09859223406335
X2868466	-19.4496488422673
X2868467	-20.6463984184746
X2868468	-5.77372125427284
X2868469	29.9379867063534
X2868470	-1.47836007867637
X2868471	32.6483607335467
X2868472	12.6629546808972
X2868473	25.0813652723372
X2868474	6.69236671205455
X2868475	-7.16098026658226
X2868476	8.81010864789991
X2868477	16.4681175570294
X2868478	18.368014931851
X2868479	17.9680099668302
X2868480	-1.00830828970996
X2868481	7.06784430659478
X2868482	-1.38437202867815
X2868483	6.82801357879043
X2868484	2.86490308019035
X2868485	-2.16914364603743
X2868486	14.8408352722929
X2868487	-2.23027003217959
X2868488	4.26065999319307
X2868489	-1.8299912152924
X2868490	20.7064160898838
X2868491	9.69956791720575
X2868492	10.0013064792595
X2868493	10.4110615750538
X2868494	-3.87897250110973
X2868495	-2.99935299144522
X2868496	-2.02679656418045
X2868497	23.7594478588634
X2868498	1.47455956071588
X2868499	-0.981084662426976
X2868500	18.5289760558198
X2868501	-9.20957917122922
X2868502	12.9828130299368
X2868503	27.0886877351437
X2868504	-23.7430273458429
X2868505	-0.285758003034015
X2868506	9.10488212778501
X2868507	-26.4406164199986
X2868508	-14.6354459438544
X2868509	10.7483752831685
X2868510	-21.064350117796
X2868511	-1.63962331211779
X2868512	-8.78863676436557
X2868513	13.7093835914891
X2868514	16.0452892539534
X2868515	-11.7878778981948
X2868516	19.9108975322756
X2868517	19.4836661192156
X2868518	1.6013342781604
X2868519	10.7223647084037
X2868520	19.6921724025524
X2868521	-15.3093603371088
X2868522	18.6248942813559
X2868523	5.09217919877322
X2868524	12.0615489506443
X2868525	10.7308516310773
X2868526	-1.58537924675491
X2868527	5.97047107507078
X2868528	16.9731185937709
X2868529	39.5403888868045
X2868530	0.689495358704942
X2868531	16.2985949891302
X2868532	2.96038834143507
X2868533	-6.80981232161929
X2868534	4.67814754735677
X2868535	-2.54791268090551
X2868536	13.2071033285582
X2868537	8.38312918748543
X2868538	2.55011577113009
X2868539	5.93616060366128
X2868540	17.1233296691268
X2868541	-2.52745353390476
X2868542	3.55884099069383
X2868543	11.4829790501955
X2868544	2.92186262367779
X2868545	15.8774949449154
X2868546	3.78565598244599
X2868547	14.0790896903498
X2868548	10.0216775526279
X2868549	-18.9235508649678
X2868550	5.58737015001858
X2868551	-0.208003142958264
X2868552	-14.7852948712979
X2868553	-9.1590810200037
X2868554	26.4747163339157
X2868555	13.7982065979834
X2868556	5.78251352490289
X2868557	-35.795581611018
X2868558	-18.5356917538247
X2868559	-12.8533564095846
X2868560	36.1652068266854
X2868561	33.5532093006297
X2868562	9.64369788891359
X2868563	7.57520489844165
X2868564	8.11207603085152
X2868565	22.2925474224669
X2868566	-18.740520336092
X2868567	25.416274483244
X2868568	24.6857040587697
X2868569	7.05313192167047
X2868570	10.8251923919833
X2868571	3.80178300134891
X2868572	12.2769400493934
X2868573	20.8309150415319
X2868574	40.4813745947031
X2868575	44.795536482469
X2868576	19.9023829536039
X2868577	8.10123227631674
X2868578	10.3902325991212
X2868579	26.8427084841314
X2868580	14.7895093108277
X2868581	5.68820718225705
X2868582	47.7361629765032
X2868583	26.9767336724583
X2868584	-14.5265500005765
X2868585	6.78280630540101
X2868586	33.0630828221532
X2868587	-13.0315232397077
X2868588	-2.59568905658662
X2868589	14.9787298356671
X2868590	0.401765338318432
X2868591	6.18769556233841
X2868592	19.5389564170308
X2868593	-17.6599653222554
X2868594	8.86042681678477
X2868595	20.8812733209721
X2868596	-9.53814025498976
X2868597	9.3835754084883
X2868598	9.23736401591808
X2868599	32.5080398895321
X2868600	31.3052107597642
X2868601	12.4084891534691
X2868602	25.4728429162023
X2868603	41.7996345130119
X2868604	-7.19193740906242
X2868605	-3.79231200108195
X2868606	10.9108365699954
X2868607	-2.62942706167915
X2868608	13.6061364204162
X2868609	19.1316697114055
X2868610	16.8550983656338
X2868611	42.7846173001161
X2868612	-3.5028443129008
X2868613	-13.8766834327598
X2868614	1.34975752758401
X2868615	2.85799043278158
X2868616	30.028249506404
X2868617	-1.63840803580279
X2868618	-12.8258844782428
X2868619	22.242172560486
X2868620	23.874483466598
X2868621	11.0706259919233
X2868622	22.3661894761623
X2868623	16.3847238784654
X2868624	10.027092119173
X2868625	19.3457316943485
X2868626	-1.19396785824333
X2868627	7.58232297767854
X2868628	-2.02380158570165
X2868629	12.4792992409896
X2868630	22.8385033230845
X2868631	-26.4834018602454
X2868632	-17.2458676585524
X2868633	1.52856263585644
X2868634	0.452153471753033
X2868635	24.9514775573659
X2868636	-0.832985724663689
X2868637	-0.437354480010956
X2868638	12.0666860820567
X2868639	-13.9479710058242
X2868640	17.6642211706588
X2868641	5.32263292140703
X2868642	9.90629785622611
X2868643	-19.8365534914529
X2868644	-7.71334093269665
X2868645	-39.924039260158
X2868646	10.7748221252115
X2868647	-19.664601163362
X2868648	-41.3092006017881
X2868649	21.1727113169675
X2868650	-24.4124526555522
X2868651	1.03380417831247
X2868652	4.26220202529976
X2868653	23.4109284720252
X2868654	5.5788620783167
X2868655	22.8889948547282
X2868656	14.4528796885933
X2868657	22.3647333221819
X2868658	28.7292703785684
X2868659	16.4474869911103
X2868660	-15.187343927656
X2868661	-18.0012041052828
