<Trait>	Heritability_0.9_Rep_1
X2879571	-96.6169918824563
X2879572	-91.2136817629587
X2879573	-87.671428275705
X2879574	-56.4303788086648
X2879575	-111.627587953952
X2879576	-113.497119052417
X2879577	-82.1273082328598
X2879578	-131.544168807901
X2879579	-71.77578898911
X2879580	-61.1730759239439
X2879581	-96.6138629062439
X2879582	2.36569538462406
X2879583	-54.1865118188011
X2879584	-33.1965431932652
X2879585	-108.171567029898
X2879586	23.5733712973446
X2879587	-23.461602060364
X2879588	-19.5382351137183
X2879589	23.2001755130095
X2879590	29.8026630451841
X2879591	-41.4121801220049
X2879592	-124.891423014341
X2879593	-105.471042412017
X2879594	-117.655594289463
X2879595	-97.673164716822
X2879596	10.0123873930796
X2879597	-36.0194136076195
X2879598	73.4676019188705
X2879599	-43.2710740903154
X2879600	7.29834774979805
X2879601	12.7240662994355
X2879602	-6.22874633918939
X2879603	69.0057932425567
X2879604	-81.2094433981065
X2879605	34.5116015317171
X2879606	-130.491059617866
X2879607	-29.7347013834749
X2879608	17.1020356648255
X2879609	46.7738148653502
X2879610	-108.44891006735
X2879611	-92.1846580552824
X2879612	-107.242259891302
X2879613	-98.5160958297439
X2879614	-96.5137571159502
X2879615	-92.2900773871728
X2879616	-60.5330828360476
X2879617	19.6713310042902
X2879618	20.6619718076411
X2879619	-39.8855166702094
X2879620	-69.1924684063102
X2879621	-45.1574270590403
X2879622	10.0491640342016
X2879623	-80.6224041821187
X2879624	59.9174452666778
X2879625	-14.1261698203878
X2879626	-74.0991139507457
X2879627	-74.2319950281545
X2879628	-176.818203053182
X2879629	-88.8731534006031
X2879630	-103.625335343688
X2879631	-68.3116767666394
X2879632	-44.4017869701677
X2879633	-124.342757724744
X2879634	-67.071959137445
X2879635	-150.093354503457
X2879636	38.342369969684
X2879637	-8.45008011940461
X2879638	34.301704267772
X2879639	-61.3944830734316
X2879640	-2.80998753429567
X2879641	-58.2607861159579
X2879642	-83.9574475208541
X2879643	-3.41070939676519
X2879644	26.6253285068446
X2879645	-91.9877763040506
X2879646	-5.48314680761058
X2879647	-51.9947558997864
X2879648	-113.058967356242
X2879649	-103.587224786045
X2879650	-100.433645024508
X2879651	-143.503968932651
X2879652	-25.9786526866394
X2879653	-41.0715393886081
X2879654	-47.4603538336501
X2879655	-23.296650970971
X2879656	-92.941575033603
X2879657	11.8810564579596
X2879658	-106.286635124845
X2879659	-87.9835668283974
X2879660	-33.1119905280447
X2879661	-112.648913514881
X2879662	-43.6660297468405
X2879663	-62.8799763629196
X2879664	-66.4103701345451
X2879665	-61.0794804380767
X2879666	2.283216575629
X2879667	-89.5387686501441
X2879668	-69.2736612989805
X2879669	-63.1958196385156
X2879670	8.83975163885557
X2879671	-124.01117689157
X2879672	-68.9855643081754
X2879673	-50.3024374318658
X2879674	-64.7772536796655
X2879675	-135.046271475096
X2879676	-92.4447422704086
X2879677	-79.762975494678
X2879678	-103.934190473009
X2879679	-61.7609364093403
X2879680	-39.1368674487493
X2879681	32.9519986686282
X2879682	23.0673722800336
X2879683	7.61818717763548
X2879684	25.0530345382403
X2879685	-88.6036916123294
X2879686	-55.8376204909538
X2879687	-39.3608616047732
X2879688	-57.6368523534724
X2879689	-23.5358956720495
X2879690	-0.68143668945946
X2879691	60.4621058998115
X2879692	-100.503800776923
X2879693	-100.864175279973
X2879694	-141.864403292265
X2879695	-113.040964965837
X2879696	-105.452724254087
X2879697	-97.6002523624124
X2879698	-65.5266135166808
X2879699	-68.0834349540213
X2879700	-82.4424013045191
X2879701	15.0222252111823
X2879702	-102.698242014456
X2879703	-0.536381136520884
X2879704	-46.5592355312705
X2879705	-86.9803212368364
X2879706	71.643993998711
X2879707	11.4057309210239
X2879708	-54.8733982783137
X2879709	33.9388361643518
X2879710	-143.86368758706
X2879711	-96.4722705401164
X2879712	-73.5389347659313
X2879713	-39.6227117908109
X2879714	-31.4509981740937
X2879715	-36.1422958373556
X2879716	-93.1289043388217
X2879717	-43.4222086626184
X2879718	-18.384078492374
X2879719	-68.3157294753761
X2879720	-50.8297538683933
X2879721	-122.238070373869
X2879722	67.2722223867742
X2879723	82.8383025598924
X2879724	64.7925737331632
X2879725	-44.4835993800193
X2879726	30.7826816920923
X2879727	-54.3829833222516
X2879728	70.3048408127518
X2879729	-16.8065784503342
X2879730	-28.6915871099616
X2879731	-43.11069746117
X2879732	50.5650351791575
X2879733	27.9736018044387
X2879734	8.96328719241738
X2879735	-52.3496128689918
X2879736	-88.0464814744261
X2879737	-69.3677706739954
X2879738	-53.9049105149954
X2879739	-97.97491227462
X2879740	-82.9416033183084
X2879741	-85.5657483421459
X2879742	-133.221738987826
X2879743	-70.8454518836495
X2879744	0.931210574155001
X2879745	-115.636801775992
X2879746	-105.816676541894
X2879747	-51.5664750373622
X2879748	44.2465871917673
X2879749	61.0668635255785
X2879750	-30.8127413390157
X2879751	48.6053639486019
X2879752	-114.923528400677
X2879753	-86.379886445508
X2879754	47.1429629426643
X2879755	28.6006955042217
X2879756	82.7102345489583
X2879757	-7.04189124307725
X2879758	-166.457357476024
X2879759	28.6282171839978
X2879760	-90.1285940138042
X2879761	-78.5191237066107
X2879762	-99.5932571021613
X2879763	-83.977296222688
X2879764	-71.9499696447426
