<Trait>	Heritability_0.9_Rep_1
X2865011	37.5012453615596
X2865012	23.8790315651614
X2865013	37.2065369066382
X2865014	41.4741401770401
X2865015	13.4270639006714
X2865016	6.84683482052526
X2865017	24.2340924728055
X2865018	-14.2079386499021
X2865019	26.003748634968
X2865020	-3.49673952725602
X2865021	-9.48149252536371
X2865022	34.9183320546919
X2865023	24.1501194696374
X2865024	25.0881090060524
X2865025	14.1641591135731
X2865026	34.9546386902037
X2865027	24.2371488656279
X2865028	-21.33459101824
X2865029	15.6522017396113
X2865030	1.85547988947183
X2865031	0.351559044592987
X2865032	24.6549379244009
X2865033	9.33321591280024
X2865034	0.411506407054611
X2865035	-11.1551963761971
X2865036	37.429656198814
X2865037	22.852168869568
X2865038	21.865956869048
X2865039	32.2376322025707
X2865040	7.65949771879547
X2865041	-3.07204103043473
X2865042	17.8384924150812
X2865043	34.9309093627761
X2865044	21.7733640899064
X2865045	40.0652346540918
X2865046	26.5422394482754
X2865047	33.0785356598383
X2865048	12.8083558779651
X2865049	13.5501174759914
X2865050	-14.0292968934435
X2865051	46.9809778286107
X2865052	28.912264785281
X2865053	24.6760009002986
X2865054	7.90350519568493
X2865055	11.4543546512533
X2865056	-3.45625112482063
X2865057	-8.24362495628765
X2865058	24.7304549000932
X2865059	-26.2497877135265
X2865060	41.2270061314663
X2865061	-1.61296928300222
X2865062	12.2526287454816
X2865063	-11.0559307876482
X2865064	-3.65412715988355
X2865065	-12.1499225562416
X2865066	-18.2204458295207
X2865067	21.620863212645
X2865068	24.1075352301809
X2865069	-14.110213476472
X2865070	2.63858516891843
X2865071	46.019004565922
X2865072	7.22430544151733
X2865073	21.150475427699
X2865074	-7.47518708344416
X2865075	6.73479599039541
X2865076	0.0969435566216044
X2865077	-8.40731498819095
X2865078	16.8980259810161
X2865079	7.4036541458412
X2865080	10.0054032982591
X2865081	-17.8280410187663
X2865082	1.23534014280728
X2865083	12.6753227401436
X2865084	-16.9680787136428
X2865085	-2.23410022567592
X2865086	1.35594120185252
X2865087	-24.2177770807824
X2865088	-17.5846396937062
X2865089	9.44866282764498
X2865090	7.14830263592786
X2865091	11.1290265025643
X2865092	32.2165209434914
X2865093	8.27165722026919
X2865094	-7.26993359766787
X2865095	43.8149844750475
X2865096	26.3921151933128
X2865097	-6.56488077951089
X2865098	-22.7588888698811
X2865099	31.9310667011743
X2865100	-19.9911562954804
X2865101	25.7143460903028
X2865102	16.2684560588015
X2865103	-8.23061714801766
X2865104	23.2659579211966
X2865105	19.3914254810347
X2865106	4.70734702752343
X2865107	-14.3736752454367
X2865108	-20.7150835279165
X2865109	-31.5302055254676
X2865110	-2.54567400651657
X2865111	-17.4727252139586
X2865112	31.2739755943664
X2865113	13.2234840446757
X2865114	29.9317766738357
X2865115	12.9957823249068
X2865116	23.5158458704322
X2865117	26.7927753280306
X2865118	-1.93584429832503
X2865119	-0.66621381284368
X2865120	19.5064124385358
X2865121	22.1270271113373
X2865122	24.1995320964909
X2865123	-19.1233229617917
X2865124	-1.12761167758939
X2865125	34.7302053377279
X2865126	18.4007673298019
X2865127	7.83567194581986
X2865128	38.7946755149729
X2865129	-9.96186122007581
X2865130	13.867097814725
X2865131	-0.997271472171053
X2865132	-4.70396757087704
X2865133	25.504810743867
X2865134	11.4258038016544
X2865135	12.0157583183904
X2865136	21.5107950391506
X2865137	12.6703713462667
X2865138	0.0385682542715529
X2865139	-1.13787551497365
X2865140	17.4695997730263
X2865141	-3.17809328859233
X2865142	-9.30085534238725
X2865143	3.01970969425162
X2865144	20.4227129516378
X2865145	-16.5176696109825
X2865146	20.3373737351885
X2865147	-7.88311990088485
X2865148	16.5342593871982
X2865149	24.2173310766598
X2865150	1.73585737552258
X2865151	6.99429242381137
X2865152	12.0757965648543
X2865153	-5.04341579817339
X2865154	23.3527768733901
X2865155	31.5833003828485
X2865156	-1.32879077614828
X2865157	45.8135275346782
X2865158	6.84420591182536
X2865159	31.0357674461983
X2865160	48.5856257103428
X2865161	3.42857984679999
X2865162	27.1504025103004
X2865163	-3.60684132401993
X2865164	14.5601350957532
X2865165	-4.762459977502
X2865166	27.6866711074153
X2865167	-6.87180917051799
X2865168	16.9254671590234
X2865169	-17.7297019156739
X2865170	-10.782818974287
X2865171	-13.3213157195683
X2865172	3.88002789037511
X2865173	-9.85916829335461
X2865174	3.31143152544323
X2865175	2.73757904760012
X2865176	27.1055650278915
X2865177	22.146398178452
X2865178	52.5346083746403
X2865179	-25.1871101364122
X2865180	-1.48223330884712
X2865181	36.2341301900043
X2865182	-7.56940648120245
X2865183	39.5413064879412
X2865184	-4.40424118806959
X2865185	-4.22713460410522
X2865186	17.8490507578195
X2865187	21.3847380183659
X2865188	8.32547420444517
X2865189	12.2740833774109
X2865190	8.92140328825287
X2865191	11.275963005725
X2865192	-5.9337237783256
