<Trait>	Heritability_0.9_Rep_1
X2873971	4.99155628817439
X2873972	18.3992474052371
X2873973	-87.6418024631733
X2873974	-23.3361425263093
X2873975	-115.484772304044
X2873976	-12.0875808213598
X2873977	-82.0873365791415
X2873978	-49.2862421281161
X2873979	-19.4874242111399
X2873980	-104.306679462008
X2873981	-109.312821345529
X2873982	-17.8275426701991
X2873983	-16.6536950677708
X2873984	-37.0930445539465
X2873985	-77.3713437941098
X2873986	-102.998358560286
X2873987	8.39071594845008
X2873988	-92.5644749385195
X2873989	-4.29372435353018
X2873990	-65.4507772475875
X2873991	0.865660667358764
X2873992	-85.1040764709482
X2873993	-49.2578251799935
X2873994	-13.6424788928042
X2873995	-92.6085102116969
X2873996	-29.6430142524826
X2873997	-50.7631298250279
X2873998	-43.08644492172
X2873999	-10.2422845176507
X2874000	-89.388017935927
X2874001	-49.1042704517276
X2874002	-53.0150101870772
X2874003	-28.2431236352778
X2874004	-38.5439254158814
X2874005	-65.6486173404013
X2874006	-74.0711217894258
X2874007	-42.5867044633117
X2874008	-49.3725640945515
X2874009	-16.9166006900627
X2874010	-100.997868984536
X2874011	115.205848236377
X2874012	55.7618029063226
X2874013	16.6791190766447
X2874014	76.689851652629
X2874015	24.4898279910485
X2874016	102.223944684688
X2874017	30.0976634078867
X2874018	101.530136585432
X2874019	72.8910461619533
X2874020	10.2430292538733
X2874021	97.4252231680389
X2874022	35.7374806516494
X2874023	32.0238429234763
X2874024	80.7361720139298
X2874025	48.0114431053355
X2874026	-2.00495180943781
X2874027	103.22807040664
X2874028	22.6303786819442
X2874029	-0.808725442814234
X2874030	60.8846323956025
X2874031	66.1369982460851
X2874032	28.0514368637283
X2874033	60.8194680927388
X2874034	-2.65748679714992
X2874035	17.4610094974111
X2874036	16.3489602331052
X2874037	-0.324837216496274
X2874038	36.6669927633131
X2874039	30.4529985430489
X2874040	11.0574544726185
X2874041	60.7965283168661
X2874042	10.7677391223664
X2874043	16.5566346526446
X2874044	27.1544863864837
X2874045	53.8950253953359
X2874046	50.8127038660921
X2874047	71.2858317271031
X2874048	-66.7492899595168
X2874049	0.690263013564222
X2874050	6.81478228892208
X2874051	-23.5630102288548
X2874052	-65.2135441452935
X2874053	-49.6817485934317
X2874054	0.830486919452017
X2874055	6.86256729492574
X2874056	-2.71200449045111
X2874057	-36.0944091723001
X2874058	-111.57385654278
X2874059	26.7334172502829
X2874060	19.8970478038441
X2874061	-27.0627664918661
X2874062	-18.9079537024834
X2874063	-19.6058543599603
X2874064	-60.2309334334308
X2874065	-69.7867905699742
X2874066	-58.5637191130029
X2874067	-66.8264661391022
X2874068	-3.07176980779002
X2874069	-2.0632113405682
X2874070	-20.4302449613665
X2874071	54.8741346233433
X2874072	41.4701562196781
X2874073	99.6652281066783
X2874074	2.64259407167617
X2874075	51.9538968063624
X2874076	-21.0952376024125
X2874077	10.0532786135483
X2874078	-17.3983361412865
X2874079	-8.70952479348186
X2874080	86.5547753804559
X2874081	14.8184662058507
X2874082	8.58701004561976
X2874083	-29.253021155538
X2874084	52.6563399697221
X2874085	-12.8435578629623
X2874086	41.3001516678905
X2874087	6.86837894512709
X2874088	43.4735374317781
X2874089	41.0742506748826
X2874090	50.7302262531143
X2874091	14.5255102407895
X2874092	30.9382581663978
X2874093	-15.3000325846948
X2874094	-9.94561595008355
X2874095	15.7460953496292
X2874096	106.942676318095
X2874097	58.1138523460819
X2874098	1.89373937180464
X2874099	0.291947205009217
X2874100	54.2006485729373
X2874101	-10.0545635160725
X2874102	-35.0415393875479
X2874103	19.8582059987753
X2874104	82.3750598964495
X2874105	43.7317788393493
X2874106	17.227080432859
X2874107	28.0753373979841
X2874108	92.2426180440897
X2874109	-6.6088039658885
X2874110	-18.6837753906184
X2874111	6.99223602211272
X2874112	-85.3347820883183
X2874113	-35.2695439588265
X2874114	-52.8841093790178
X2874115	-83.356142947612
X2874116	-12.0833327089228
X2874117	15.4920943155775
X2874118	-69.7115314281391
X2874119	-72.1743706233374
X2874120	-22.8932358134705
X2874121	5.05813519814917
X2874122	-84.6644016868723
X2874123	-46.3830390850539
X2874124	-45.6121356790297
X2874125	-1.61280768535759
X2874126	-70.142615357785
X2874127	-64.9325302299693
X2874128	-46.6084982583157
X2874129	-26.0840558871944
X2874130	1.7596557757502
X2874131	-23.2010910893311
X2874132	-31.2599421253799
X2874133	-76.8263863631797
X2874134	2.28939464731617
X2874135	-10.2961146569529
X2874136	93.9288093775024
X2874137	129.613010345888
X2874138	89.2400715169149
X2874139	-9.51371099526856
X2874140	-1.12953738120155
X2874141	60.745959050272
X2874142	-0.00692358067262489
X2874143	-11.0665986101998
X2874144	-14.0741920832944
X2874145	-50.8174766725814
X2874146	48.5871864175117
X2874147	91.7812544348063
X2874148	20.9409180875408
X2874149	71.6802197652568
X2874150	23.3272061655818
X2874151	-18.9403046403273
X2874152	-4.2498480442599
X2874153	9.61514462719614
X2874154	20.0438007102546
X2874155	45.658858790092
X2874156	96.6647345230288
X2874157	39.0705638958257
X2874158	38.459357437336
X2874159	86.9613445785676
X2874160	-87.2978394864361
X2874161	-73.1045168237795
X2874162	-65.1347859312714
X2874163	7.86011659058392
X2874164	-100.534002854624
X2874165	-57.5128780137152
X2874166	-6.98921471104291
X2874167	-16.4525410608444
X2874168	-68.0484828219539
X2874169	-13.1395317294993
X2874170	-75.3223724464949
X2874171	-76.6349905757844
X2874172	-5.64370423612382
X2874173	-75.2562901537836
X2874174	19.8079640676352
X2874175	-50.6415210637754
X2874176	-23.8033034514395
X2874177	-40.9472013031217
X2874178	-101.237597735932
X2874179	-19.1693867021016
X2874180	-13.6333590222018
X2874181	88.2588557196311
X2874182	11.859146983485
X2874183	94.912472279661
X2874184	14.8758144915097
X2874185	57.337476373626
X2874186	60.6989958364126
X2874187	-3.9908697941573
X2874188	46.353410702578
X2874189	54.5945997457871
X2874190	38.4678598747491
X2874191	10.2154625819547
X2874192	65.4577591523173
X2874193	17.434440541351
X2874194	-11.8397878344506
X2874195	25.4788176921702
X2874196	105.45970071754
X2874197	16.8301551824686
X2874198	-109.160837167059
X2874199	-64.5344137051386
X2874200	-48.3652042268253
X2874201	-87.1755002816492
X2874202	2.22448440629388
X2874203	-59.9730760914985
X2874204	-23.601968024379
X2874205	-11.0504782946909
X2874206	-30.8382561250791
X2874207	-47.156056038744
X2874208	-90.7000163133869
X2874209	-28.7504225058587
X2874210	-84.663184303022
X2874211	-61.9095993034194
X2874212	-92.4013442435881
X2874213	-26.2821470580001
X2874214	-38.5762508523236
X2874215	-74.4843836266456
X2874216	-35.5332240205635
X2874217	-84.0942896671803
X2874218	-39.2861051780877
X2874219	-71.2117556578932
X2874220	6.7431852055409
X2874221	-4.70115778135073
X2874222	32.2513682587477
X2874223	3.37574985412278
X2874224	-93.478789244054
X2874225	-52.3720207551203
X2874226	-25.4004540326209
X2874227	-60.6104524061353
X2874228	-44.3509977030745
X2874229	27.3510307844806
X2874230	11.1828684323595
X2874231	-54.5893323378659
X2874232	-7.9200841297174
X2874233	-57.3089154315906
X2874234	-17.3570679448788
X2874235	25.9762173308047
X2874236	-35.2984846099598
X2874237	-20.0211557608292
X2874238	-27.3434737665342
X2874239	16.9400170260266
X2874240	-0.188431679854453
X2874241	20.4968131881186
X2874242	19.8215422471518
X2874243	38.1656721386062
X2874244	67.5579991595698
X2874245	80.6377292582596
X2874246	35.9104387164502
X2874247	43.5538711058672
X2874248	44.0085794923666
X2874249	40.7897269158996
X2874250	45.1738636905312
X2874251	38.1992169780732
X2874252	35.9892862185247
X2874253	87.2876524820273
X2874254	39.4717911101285
X2874255	2.49319981505783
X2874256	40.9041562264966
X2874257	62.4838212440596
X2874258	7.79802656878254
X2874259	40.8692070466034
X2874260	87.8208973558969
X2874261	52.0476371848428
X2874262	75.0143944013499
X2874263	22.3804855144155
X2874264	4.57647522826177
X2874265	50.997369662478
X2874266	56.2148640284822
X2874267	14.7076618827952
X2874268	57.6887915390443
X2874269	30.1358383199513
X2874270	48.0264952432364
X2874271	50.6779184497248
X2874272	53.7789009939514
X2874273	31.7153893142041
X2874274	80.7948480611311
X2874275	24.5843934306771
X2874276	29.8976484109714
X2874277	79.1270013390199
X2874278	68.9094252504966
X2874279	96.0809504411418
X2874280	17.8140923414509
X2874281	9.68550202246048
X2874282	46.058304378162
X2874283	27.7549292868772
X2874284	70.0480584587639
X2874285	60.4625206175651
X2874286	104.90465050894
X2874287	35.4347732875754
X2874288	-7.58572837904216
X2874289	2.27682030352674
X2874290	-22.1333748332289
X2874291	59.0372833149803
X2874292	-6.92730710841307
X2874293	34.5432137620915
X2874294	42.8875386359183
X2874295	-22.1970844657279
X2874296	10.5992247098645
X2874297	0.52075672119625
X2874298	51.4942232415987
X2874299	38.6163245448129
X2874300	19.7744395443452
X2874301	45.6757002926937
X2874302	-15.8184000681454
X2874303	102.871241618952
X2874304	24.1200085999263
X2874305	46.8206456485253
X2874306	-49.0817901368304
X2874307	16.5367154870474
X2874308	-0.150663655011697
