<Trait>	Heritability_0.9_Rep_1
X2882931	120.545909614527
X2882932	179.000769908786
X2882933	169.855936776064
X2882934	181.992597526006
X2882935	71.4134841182533
X2882936	130.992070352272
X2882937	149.683738029371
X2882938	60.5867704507216
X2882939	-22.6267361721062
X2882940	92.7006779633552
X2882941	76.4119122509752
X2882942	113.168272064059
X2882943	-14.589170217144
X2882944	153.812851971524
X2882945	128.844543550693
X2882946	142.828699942742
X2882947	4.53672269257636
X2882948	-48.6696828479191
X2882949	114.176332314437
X2882950	-34.325504493618
X2882951	50.6760270548821
X2882952	92.8673681940113
X2882953	180.236519570622
X2882954	42.5309568863697
X2882955	81.362072033332
X2882956	10.0471428213692
X2882957	47.6710608832783
X2882958	100.637220556602
X2882959	17.506533567075
X2882960	93.4602088699901
X2882961	-48.1094841928523
X2882962	72.741083766629
X2882963	154.694736502335
X2882964	117.049079951612
X2882965	103.267667522683
X2882966	-73.3562036006984
X2882967	-4.90213665081981
X2882968	91.6346539050254
X2882969	2.75278539049619
X2882970	43.4502474281048
X2882971	105.016120706507
X2882972	88.0894561349996
X2882973	66.9709599947521
X2882974	103.829417188959
X2882975	128.365901511025
X2882976	9.15465159712168
X2882977	65.6647744627205
X2882978	130.293202934155
X2882979	89.7175048347042
X2882980	-37.3729972184712
X2882981	29.117686665562
X2882982	-77.8647475343462
X2882983	-24.6926529175638
X2882984	-10.7373601806796
X2882985	-52.7065002729093
X2882986	164.072438825129
X2882987	191.681163948306
X2882988	50.9214962902825
X2882989	139.425786593858
X2882990	99.0076750665748
X2882991	113.663995743143
X2882992	160.585741847664
X2882993	-10.3006302213818
X2882994	106.72255049572
X2882995	92.7555559356358
X2882996	144.314404940595
X2882997	-26.0148218404457
X2882998	156.63497346706
X2882999	150.558778244346
X2883000	113.963700601251
X2883001	88.1020566258415
X2883002	6.62317821671754
X2883003	130.17440429056
X2883004	72.1635419233617
X2883005	112.662752431317
X2883006	-23.3710658777837
X2883007	-5.75029985263216
X2883008	131.451791169992
X2883009	117.015904094304
X2883010	104.001169682781
X2883011	64.7924060122601
X2883012	155.585172544967
X2883013	110.130553045897
X2883014	118.245251245904
X2883015	116.631338979589
X2883016	-6.30692506629697
X2883017	-7.76070823450891
X2883018	-65.0085407913647
X2883019	-53.203676680508
X2883020	174.29655756211
X2883021	48.7870891509227
X2883022	-37.295851848012
X2883023	45.8900514959523
X2883024	-32.1118891089131
X2883025	-13.1664197838598
X2883026	75.7722401464856
X2883027	-45.7695748637249
X2883028	107.912201458533
X2883029	-18.1965624645281
X2883030	36.465300040938
X2883031	102.575130228741
X2883032	157.330318663363
X2883033	156.412334339666
X2883034	124.492456981326
X2883035	90.2531399994563
X2883036	-55.9822533174154
X2883037	150.791615199269
X2883038	96.0002291230965
X2883039	146.732728022088
X2883040	-11.4944510065465
X2883041	119.689029659959
X2883042	165.232959340688
X2883043	65.8937259066827
X2883044	-47.6765007929217
X2883045	81.9950844669453
X2883046	83.6927210673595
X2883047	-90.1508770516745
X2883048	76.2327762477085
X2883049	14.6107284030495
X2883050	-43.2242266708991
X2883051	-36.003967340533
X2883052	-52.3590522303124
X2883053	170.076839581201
X2883054	65.5626911820592
X2883055	74.2110341445876
X2883056	82.7752644532437
X2883057	141.754696318077
X2883058	151.313544469192
X2883059	111.733202735296
X2883060	127.269772311605
X2883061	24.4199311550783
X2883062	104.15338020411
X2883063	-25.5101725774541
X2883064	31.3097845037891
X2883065	54.5364327910411
X2883066	173.058658770238
X2883067	59.3013581471962
X2883068	-24.9549120564004
X2883069	-65.1241211437274
X2883070	83.2327069561523
X2883071	99.0581895945915
X2883072	133.432404364026
X2883073	2.64330257697932
X2883074	94.7251597633055
X2883075	98.7885909318766
X2883076	132.182929936397
X2883077	30.6819949711777
X2883078	151.218546525457
X2883079	150.903860217797
X2883080	15.8121071553518
X2883081	75.831060824617
X2883082	112.113305224461
X2883083	146.314059062761
X2883084	127.236681519234
X2883085	19.5832095414188
X2883086	85.030587422491
X2883087	111.268546235713
X2883088	-10.7846111351752
X2883089	79.8033987920272
X2883090	-2.47921637069569
X2883091	109.774396453653
X2883092	44.8288281478261
X2883093	-56.1770908935289
X2883094	-36.4542346918913
X2883095	-47.4036938783996
X2883096	202.837644421106
X2883097	176.832488918963
X2883098	169.161183470089
X2883099	113.565468283182
X2883100	143.505763288932
X2883101	139.150083820942
X2883102	127.263734174878
X2883103	102.420022473558
X2883104	34.6873053329447
X2883105	77.716963118988
X2883106	89.8992539258242
X2883107	149.399329039338
X2883108	9.16101097213041
X2883109	-32.1338791155385
X2883110	-38.5126001903455
X2883111	84.9044367549019
X2883112	26.2044853525549
X2883113	-26.0017440681249
X2883114	129.749941668525
X2883115	-20.5197704040827
X2883116	186.839133371425
X2883117	-85.3484638394398
X2883118	-102.05659022994
X2883119	114.156635105694
X2883120	158.884462894466
X2883121	126.338615867918
X2883122	105.782825546114
X2883123	179.88702820898
X2883124	127.140223778553
X2883125	146.541283859936
X2883126	33.6726027015642
X2883127	54.9792773684435
X2883128	114.516673600871
X2883129	-33.195158207193
X2883130	131.308711944666
X2883131	17.8422132418984
X2883132	-32.9451994899296
X2883133	105.360646693094
X2883134	150.624017092473
X2883135	99.0948975529751
X2883136	-32.9700530697665
X2883137	32.415783533116
X2883138	-73.6853419293705
X2883139	13.1681522611291
X2883140	-37.4394464807947
X2883141	133.885528271789
X2883142	97.2779056843535
X2883143	177.547166811513
X2883144	123.576291185118
X2883145	-21.6766724732095
X2883146	126.145232652548
X2883147	87.5823893158236
X2883148	55.2192050165182
X2883149	-29.8970908022151
X2883150	13.0271146933688
X2883151	100.608414406214
X2883152	-5.71566159014553
X2883153	-71.289998026851
X2883154	-28.6169385290643
X2883155	9.11205254664686
X2883156	27.4979157965636
X2883157	175.827976544092
X2883158	100.208482684063
X2883159	147.977931683798
X2883160	143.079207040467
X2883161	122.892256572718
X2883162	165.657483857776
X2883163	146.703690143989
X2883164	143.827508091699
X2883165	-58.7966492120209
X2883166	126.701625319943
X2883167	69.1874016742637
X2883168	80.5715294418697
X2883169	123.300304039803
X2883170	-11.6087895253433
X2883171	33.500860830914
X2883172	-28.2685696355785
X2883173	121.134791420434
X2883174	5.00178597357844
X2883175	125.516313060376
X2883176	117.504430540804
X2883177	-51.2611902103791
X2883178	-37.0960325312901
X2883179	-9.24380960040096
X2883180	29.6506662792278
X2883181	106.539274223711
X2883182	167.440358998098
X2883183	100.271418072507
X2883184	57.8908523401159
X2883185	120.364945731749
X2883186	101.569421943832
X2883187	90.6582661169684
X2883188	1.65163535658804
X2883189	-31.2000446007748
X2883190	-38.8724109296446
X2883191	-81.09352048518
X2883192	49.0750845631551
X2883193	-19.4067167713088
X2883194	-41.6666527236017
X2883195	160.988855277088
X2883196	13.9771811260792
X2883197	107.453723136132
X2883198	67.4882475322324
X2883199	155.208980147673
X2883200	20.4397129254478
X2883201	-40.1543166030639
X2883202	-32.7934857940657
X2883203	54.7508075704815
X2883204	91.7632558364413
X2883205	-90.6767787678968
X2883206	40.683836021544
X2883207	-17.9633565467851
X2883208	-47.0636400186196
X2883209	4.06645761658862
X2883210	103.809875543054
X2883211	74.2475337904791
X2883212	118.455022450204
X2883213	169.632203718037
X2883214	174.72179645389
X2883215	108.042301743128
X2883216	-50.9363920743828
X2883217	121.91463314623
X2883218	55.7078833549763
X2883219	-57.8982029548434
X2883220	30.5559858544676
X2883221	-24.7918382245826
X2883222	-42.2506289286093
X2883223	-93.1689258080433
X2883224	89.5959473628831
X2883225	123.509644008362
X2883226	201.401785319443
X2883227	97.6877029608517
X2883228	108.24563723499
X2883229	-16.2380505801512
X2883230	31.7440695194491
X2883231	101.135116406526
X2883232	-2.50410209824491
X2883233	120.583993822704
X2883234	84.9663033663968
X2883235	177.207644332636
X2883236	-26.6814103376305
X2883237	-73.3131603939232
X2883238	1.05480367451235
X2883239	182.485017649874
X2883240	71.0966982310519
X2883241	88.4694511393233
X2883242	55.3629437135556
X2883243	60.6229332465375
X2883244	-21.5219599420951
X2883245	49.3110067143969
X2883246	-51.6585214435862
X2883247	-123.591905709003
X2883248	50.8984400937179
X2883249	-26.7644157500235
X2883250	-0.857550484622081
X2883251	-56.7166565365554
X2883252	23.7448144377951
X2883253	80.7318238437892
X2883254	-11.5657298696134
X2883255	-79.6439604570649
X2883256	44.0271872466326
X2883257	6.15384849149322
X2883258	-0.70384097547247
X2883259	108.490942904524
X2883260	-54.5066775651827
X2883261	35.6466070637847
X2883262	-43.4121657895865
X2883263	138.211908324413
X2883264	-23.2926217643576
X2883265	-78.0848824941655
X2883266	131.936696662937
X2883267	137.519588730589
X2883268	101.075691977793
X2883269	-41.2257409616884
X2883270	83.0061928466838
X2883271	-31.3451539757351
X2883272	-52.7304245075522
X2883273	-112.776306716479
X2883274	113.301005315794
X2883275	45.3562143155919
X2883276	-72.0657166546276
X2883277	160.033781415069
X2883278	72.8253849945196
X2883279	120.770491833613
X2883280	46.0538885898247
X2883281	96.1309764654101
X2883282	-64.7809200228188
X2883283	76.0995374293847
X2883284	-57.8392422989366
X2883285	-72.4625294923044
X2883286	-31.8708572612338
X2883287	52.4627802495261
X2883288	22.2124006840006
X2883289	1.2073613916876
X2883290	106.386863294667
X2883291	86.1273962273518
X2883292	-63.808475490844
X2883293	100.948738714665
X2883294	46.0668442458836
X2883295	36.4348272333911
X2883296	70.8980996970557
X2883297	120.175592858856
X2883298	52.5750892472956
X2883299	-54.0147429565862
X2883300	11.0418022854323
X2883301	-125.598300913525
X2883302	32.7972694787142
X2883303	-45.3469075082255
X2883304	37.3432925019702
X2883305	42.3386536023296
X2883306	65.5219725168493
X2883307	-0.0634496145648456
X2883308	-65.0079693604174
X2883309	49.1594029110522
X2883310	-35.9849416711431
X2883311	71.0254474196165
X2883312	125.898024624465
X2883313	69.5596199402358
X2883314	34.2421626815144
X2883315	-47.3898471273597
X2883316	-92.103051682714
X2883317	10.461013072862
X2883318	106.799146551933
X2883319	-17.0954376909545
X2883320	63.5357188393756
X2883321	45.4797273614615
X2883322	42.1384478818303
X2883323	-46.0807275642014
X2883324	43.3630278145946
X2883325	138.622993070608
X2883326	125.407498036899
X2883327	107.956369866255
X2883328	166.099097149297
X2883329	138.254412795061
X2883330	86.432532871519
X2883331	151.504124407352
X2883332	-37.2304990376743
X2883333	82.3030868819516
X2883334	-53.8274457577967
X2883335	32.3942649912747
X2883336	110.70687201781
X2883337	-34.1687824805987
X2883338	-75.9910922037061
X2883339	-77.1676296927741
X2883340	31.4792630303766
X2883341	167.617623543902
X2883342	35.1784038764747
X2883343	95.9891259602437
X2883344	178.60011263125
X2883345	122.376591040129
X2883346	-5.31536209758781
X2883347	-3.70995043743615
X2883348	70.1226679502962
X2883349	-0.0498080487173844
X2883350	-94.9744413513176
X2883351	110.079278174198
X2883352	83.9280397078078
X2883353	81.0083890580445
X2883354	143.712837263836
X2883355	-7.54252450339149
X2883356	78.4729489689672
X2883357	113.530076581838
X2883358	24.355901943009
X2883359	62.884969648322
X2883360	-43.3830904703234
X2883361	121.933482458095
X2883362	131.544842800993
X2883363	90.9382960001849
X2883364	69.9056201506102
X2883365	53.2008243051005
